session_id,user_id,session_start,events,failed_events,score
u0136::2025-01-31,u0136,2025-01-31 01:07:00,2,1,66.44712347799978
u0001::2025-01-23,u0001,2025-01-23 23:28:00,2,0,56.0172519627818
u0156::2025-01-10,u0156,2025-01-10 17:19:00,2,0,55.72141170262856
u0114::2025-01-07,u0114,2025-01-07 12:49:00,2,1,53.329782469379616
u0022::2025-01-15,u0022,2025-01-15 14:02:00,2,0,52.621637837013424
u0042::2025-01-08,u0042,2025-01-08 13:11:00,1,1,42.07024734536304
u0121::2025-01-21,u0121,2025-01-21 22:43:00,1,1,42.07024734536304
u0065::2025-01-17,u0065,2025-01-17 14:20:00,1,1,42.07024734536304
u0190::2025-01-01,u0190,2025-01-01 09:02:00,1,1,42.07024734536304
u0004::2025-01-20,u0004,2025-01-20 04:01:00,1,1,42.07024734536304
u0140::2025-01-23,u0140,2025-01-23 09:12:00,1,1,42.07024734536304
u0080::2025-01-11,u0080,2025-01-11 08:55:00,1,1,42.07024734536304
u0174::2025-01-01,u0174,2025-01-01 11:12:00,1,1,42.07024734536304
u0004::2025-01-10,u0004,2025-01-10 03:14:00,1,1,42.07024734536304
u0235::2025-01-16,u0235,2025-01-16 18:36:00,1,1,42.07024734536304
u0139::2025-01-15,u0139,2025-01-15 08:00:00,1,1,42.07024734536304
u0083::2025-01-14,u0083,2025-01-14 11:36:00,1,1,42.07024734536304
u0127::2025-01-12,u0127,2025-01-12 03:55:00,1,1,42.07024734536304
u0199::2025-01-18,u0199,2025-01-18 22:08:00,1,1,42.07024734536304
u0140::2025-01-31,u0140,2025-01-31 01:23:00,1,0,42.07024734536304
u0081::2025-01-01,u0081,2025-01-01 16:25:00,1,1,42.07024734536304
u0074::2025-01-01,u0074,2025-01-01 19:12:00,1,1,42.07024734536304
u0124::2025-01-01,u0124,2025-01-01 16:44:00,1,1,42.07024734536304
u0010::2025-01-20,u0010,2025-01-20 17:59:00,1,1,42.07024734536304
u0243::2025-01-21,u0243,2025-01-21 06:50:00,1,1,42.07024734536304
u0087::2025-01-10,u0087,2025-01-10 12:56:00,1,1,42.07024734536304
u0221::2025-01-06,u0221,2025-01-06 21:52:00,2,2,41.099977188884196
u0066::2025-01-13,u0066,2025-01-13 02:21:00,2,1,39.266553797108294
u0095::2025-01-31,u0095,2025-01-31 08:17:00,2,1,37.62026610047558
u0026::2025-01-02,u0026,2025-01-02 07:44:00,2,0,37.21027759940351
u0109::2025-01-28,u0109,2025-01-28 00:45:00,5,0,37.00977459428149
u0113::2025-01-21,u0113,2025-01-21 00:42:00,13,2,36.71374874906617
u0012::2025-01-23,u0012,2025-01-23 00:01:00,11,2,36.66592277961939
u0096::2025-01-24,u0096,2025-01-24 01:38:00,13,2,36.64535223829905
u0209::2025-01-14,u0209,2025-01-14 10:19:00,2,1,35.64607095550838
u0075::2025-01-22,u0075,2025-01-22 01:20:00,12,2,35.63804451139329
u0234::2025-01-23,u0234,2025-01-23 00:36:00,13,2,35.34998262533267
u0084::2025-01-01,u0084,2025-01-01 21:08:00,2,1,34.981081013003994
u0188::2025-01-29,u0188,2025-01-29 02:45:00,11,3,34.92998619049785
u0233::2025-01-27,u0233,2025-01-27 00:45:00,11,3,34.83372357156308
u0113::2025-01-27,u0113,2025-01-27 00:04:00,12,2,34.79011436303001
u0066::2025-01-07,u0066,2025-01-07 22:04:00,2,1,34.22338526560044
u0108::2025-01-22,u0108,2025-01-22 06:33:00,5,3,34.21144024061006
u0068::2025-01-25,u0068,2025-01-25 00:42:00,13,2,34.10963720428687
u0077::2025-01-07,u0077,2025-01-07 02:43:00,14,0,33.41345295763564
u0049::2025-01-06,u0049,2025-01-06 01:02:00,11,3,33.09183774777169
u0185::2025-01-17,u0185,2025-01-17 14:41:00,2,0,33.066855560215174
u0149::2025-01-31,u0149,2025-01-31 00:44:00,5,2,32.83926074241869
u0107::2025-01-28,u0107,2025-01-28 01:32:00,9,3,32.60313708637884
u0067::2025-01-11,u0067,2025-01-11 20:18:00,2,0,31.833722577799396
u0152::2025-01-29,u0152,2025-01-29 00:37:00,12,2,31.798123883648465
u0225::2025-01-30,u0225,2025-01-30 04:45:00,10,3,31.688128947316514
u0047::2025-01-25,u0047,2025-01-25 08:57:00,5,3,31.074328063754333
u0005::2025-01-30,u0005,2025-01-30 00:54:00,10,3,31.046138216689037
u0200::2025-01-31,u0200,2025-01-31 00:05:00,4,2,30.799476951379283
u0082::2025-01-11,u0082,2025-01-11 02:58:00,12,0,30.61979297318949
u0213::2025-01-31,u0213,2025-01-31 06:25:00,5,2,30.579339661970586
