session_id,user_id,session_start,events,failed_events,score
u0116::2025-01-26,u0116,2025-01-26 19:57:00,2,1,71.57587549701684
u0382::2025-01-20,u0382,2025-01-20 11:21:00,2,0,62.54319755245389
u0223::2025-02-05,u0223,2025-02-05 21:38:00,2,1,56.07034587931418
u0328::2025-03-02,u0328,2025-03-02 00:28:00,1,1,53.12679731426485
u0377::2025-01-26,u0377,2025-01-26 19:17:00,1,1,53.12679731426485
u0025::2025-01-28,u0025,2025-01-28 21:33:00,1,1,53.12679731426485
u0001::2025-03-02,u0001,2025-03-02 02:42:00,1,1,53.12679731426485
u0222::2025-01-28,u0222,2025-01-28 22:32:00,1,1,53.12679731426485
u0365::2025-01-05,u0365,2025-01-05 12:47:00,1,1,53.12679731426485
u0346::2025-01-28,u0346,2025-01-28 02:13:00,1,1,53.12679731426485
u0077::2025-01-03,u0077,2025-01-03 20:35:00,1,1,53.12679731426485
u0399::2025-02-28,u0399,2025-02-28 05:24:00,1,1,53.12679731426485
u0012::2025-03-02,u0012,2025-03-02 01:33:00,1,1,53.12679731426485
u0284::2025-01-22,u0284,2025-01-22 09:33:00,1,1,53.12679731426485
u0082::2025-01-14,u0082,2025-01-14 05:54:00,1,1,53.12679731426485
u0166::2025-02-11,u0166,2025-02-11 03:16:00,1,1,53.12679731426485
u0134::2025-01-03,u0134,2025-01-03 17:08:00,1,1,53.12679731426485
u0239::2025-03-02,u0239,2025-03-02 06:15:00,1,1,53.12679731426485
u0010::2025-01-06,u0010,2025-01-06 14:42:00,1,1,53.12679731426485
u0158::2025-01-25,u0158,2025-01-25 11:06:00,1,1,53.12679731426485
u0211::2025-01-11,u0211,2025-01-11 14:06:00,1,1,53.12679731426485
u0095::2025-01-19,u0095,2025-01-19 16:42:00,1,1,53.12679731426485
u0178::2025-01-17,u0178,2025-01-17 01:11:00,1,1,53.12679731426485
u0129::2025-01-12,u0129,2025-01-12 04:32:00,1,1,53.12679731426485
u0363::2025-03-02,u0363,2025-03-02 08:22:00,1,1,53.12679731426485
u0143::2025-01-30,u0143,2025-01-30 20:52:00,1,1,53.12679731426485
u0116::2025-01-01,u0116,2025-01-01 20:21:00,1,1,53.12679731426485
u0318::2025-03-02,u0318,2025-03-02 08:37:00,1,1,53.12679731426485
u0045::2025-02-18,u0045,2025-02-18 10:10:00,2,0,49.601420914853875
u0116::2025-02-28,u0116,2025-02-28 00:16:00,20,3,49.45631759143501
u0315::2025-01-24,u0315,2025-01-24 04:35:00,2,0,48.457250007970146
u0193::2025-01-08,u0193,2025-01-08 05:41:00,2,1,47.91833116827849
u0018::2025-01-11,u0018,2025-01-11 13:26:00,3,3,47.85745644329544
u0365::2025-01-27,u0365,2025-01-27 21:03:00,2,0,46.75331284860081
u0145::2025-02-22,u0145,2025-02-22 00:30:00,21,1,44.16214173532178
u0088::2025-01-10,u0088,2025-01-10 23:42:00,2,1,43.81469372617026
u0107::2025-01-03,u0107,2025-01-03 08:13:00,2,1,43.43935258895456
u0056::2025-01-01,u0056,2025-01-01 15:35:00,2,0,42.750137408516636
u0006::2025-02-17,u0006,2025-02-17 02:14:00,6,1,42.49198062423911
u0002::2025-02-20,u0002,2025-02-20 00:56:00,17,3,42.110200990930444
u0321::2025-02-05,u0321,2025-02-05 14:08:00,2,1,41.34525731502776
u0390::2025-02-06,u0390,2025-02-06 00:42:00,19,1,41.20109646779717
u0208::2025-02-18,u0208,2025-02-18 00:31:00,9,1,41.149203635624694
u0014::2025-02-18,u0014,2025-02-18 02:00:00,14,4,40.94810985203782
u0208::2025-02-20,u0208,2025-02-20 00:00:00,8,0,40.80789131331886
u0124::2025-01-11,u0124,2025-01-11 12:41:00,2,0,40.30888817243417
u0251::2025-01-05,u0251,2025-01-05 08:27:00,2,0,40.30888817243417
u0104::2025-02-06,u0104,2025-02-06 00:13:00,19,1,40.13926668998347
u0336::2025-03-02,u0336,2025-03-02 06:19:00,3,1,39.88608993614078
u0119::2025-02-20,u0119,2025-02-20 00:05:00,14,1,39.87130619036743
u0207::2025-02-22,u0207,2025-02-22 00:54:00,18,2,39.72839959799036
u0172::2025-01-20,u0172,2025-01-20 04:38:00,2,0,39.295926391663315
u0328::2025-01-22,u0328,2025-01-22 14:23:00,2,0,39.26176687592125
u0270::2025-02-11,u0270,2025-02-11 02:00:00,15,3,39.027942595954855
u0052::2025-01-06,u0052,2025-01-06 06:33:00,3,2,39.01851006580431
u0113::2025-03-01,u0113,2025-03-01 06:41:00,9,5,39.00273330340926
u0289::2025-01-02,u0289,2025-01-02 08:00:00,2,0,38.87038174842557
u0347::2025-01-11,u0347,2025-01-11 03:08:00,2,0,38.64291081296343
u0169::2025-01-18,u0169,2025-01-18 06:11:00,2,0,38.5919691301966
u0182::2025-02-19,u0182,2025-02-19 05:27:00,10,1,38.154838941614855
u0324::2025-02-28,u0324,2025-02-28 00:37:00,3,0,38.11648250909745
u0172::2025-02-17,u0172,2025-02-17 04:58:00,4,0,38.095964117857996
u0271::2025-02-09,u0271,2025-02-09 07:19:00,15,3,38.0083729409272
u0341::2025-02-05,u0341,2025-02-05 01:20:00,15,3,37.92350226720911
u0217::2025-01-15,u0217,2025-01-15 06:39:00,2,1,37.5649047302344
u0198::2025-01-01,u0198,2025-01-01 18:55:00,2,1,37.3711079790602
u0345::2025-02-26,u0345,2025-02-26 02:03:00,17,1,37.35319737137176
u0306::2025-01-16,u0306,2025-01-16 11:18:00,2,2,37.2932474372205
u0087::2025-02-15,u0087,2025-02-15 00:08:00,15,3,37.250878180793336
u0110::2025-01-26,u0110,2025-01-26 02:56:00,3,1,37.053995483880115
u0076::2025-03-02,u0076,2025-03-02 00:27:00,2,0,36.97025400153217
u0350::2025-01-27,u0350,2025-01-27 07:05:00,4,2,36.94139558336644
u0322::2025-02-06,u0322,2025-02-06 04:15:00,17,1,36.91335603541471
u0314::2025-02-12,u0314,2025-02-12 03:55:00,16,2,36.83848922976958
u0189::2025-01-22,u0189,2025-01-22 06:30:00,2,1,36.55679191349724
u0107::2025-02-28,u0107,2025-02-28 05:52:00,17,1,36.54760277355166
u0116::2025-02-13,u0116,2025-02-13 04:37:00,16,2,36.52738715719801
u0360::2025-02-06,u0360,2025-02-06 02:09:00,12,4,36.38197357368776
u0352::2025-01-16,u0352,2025-01-16 01:24:00,3,2,36.332805808764874
u0111::2025-01-05,u0111,2025-01-05 03:20:00,18,0,36.112419921370645
u0081::2025-03-01,u0081,2025-03-01 00:56:00,15,3,36.09961746143323
u0231::2025-02-02,u0231,2025-02-02 13:07:00,2,1,35.99104410229016
u0178::2025-03-01,u0178,2025-03-01 02:50:00,17,0,35.98558724382083
u0162::2025-01-30,u0162,2025-01-30 05:13:00,2,0,35.5831022370672
u0165::2025-02-22,u0165,2025-02-22 02:19:00,15,3,35.52342413132415
u0293::2025-02-01,u0293,2025-02-01 06:22:00,16,1,35.45252271893426
u0348::2025-01-03,u0348,2025-01-03 04:04:00,2,2,35.441583767325184
u0156::2025-02-28,u0156,2025-02-28 03:43:00,15,3,35.31817287419032
u0203::2025-02-16,u0203,2025-02-16 01:14:00,2,0,35.130738830442255
u0043::2025-01-04,u0043,2025-01-04 08:30:00,2,1,35.07753148628015
u0303::2025-01-05,u0303,2025-01-05 01:10:00,2,0,35.006666705669545
u0078::2025-01-07,u0078,2025-01-07 06:21:00,3,1,34.889537024342125
u0308::2025-02-14,u0308,2025-02-14 01:42:00,13,1,34.68731798164098
u0314::2025-01-17,u0314,2025-01-17 07:08:00,2,0,34.537123992233305
u0192::2025-01-27,u0192,2025-01-27 10:18:00,2,0,34.537123992233305
u0153::2025-01-30,u0153,2025-01-30 09:00:00,5,0,34.537123992233305
u0380::2025-02-06,u0380,2025-02-06 00:10:00,11,0,34.478207876174764
u0127::2025-02-21,u0127,2025-02-21 00:50:00,17,1,34.47567269889513
u0142::2025-01-01,u0142,2025-01-01 09:02:00,2,1,34.44699512567743
u0033::2025-02-07,u0033,2025-02-07 00:34:00,12,2,34.422353860130904
u0286::2025-02-24,u0286,2025-02-24 00:00:00,15,2,34.36417041600361
u0227::2025-03-02,u0227,2025-03-02 02:07:00,3,2,34.27210931151011
u0161::2025-01-27,u0161,2025-01-27 14:18:00,3,0,34.1295623033863
u0242::2025-01-08,u0242,2025-01-08 12:54:00,2,1,33.96706285499664
u0202::2025-01-19,u0202,2025-01-19 16:56:00,2,1,33.92445557175667
u0248::2025-01-14,u0248,2025-01-14 15:07:00,3,0,33.87415173899498
u0021::2025-02-24,u0021,2025-02-24 01:52:00,2,1,33.85440792003552
u0127::2025-01-15,u0127,2025-01-15 20:02:00,2,1,33.797375995278
u0083::2025-02-11,u0083,2025-02-11 01:06:00,14,2,33.76505162053355
u0171::2025-02-08,u0171,2025-02-08 00:11:00,16,2,33.755456278849515
u0108::2025-02-14,u0108,2025-02-14 00:30:00,17,1,33.73588531204655
u0146::2025-01-07,u0146,2025-01-07 05:23:00,2,1,33.68569874651412
u0221::2025-02-15,u0221,2025-02-15 00:43:00,9,1,33.668760067520736
u0096::2025-01-01,u0096,2025-01-01 20:26:00,2,1,33.59161008265609
u0168::2025-02-12,u0168,2025-02-12 00:09:00,14,3,33.407994915493624
u0135::2025-02-06,u0135,2025-02-06 01:03:00,16,0,33.39828636026594
u0021::2025-03-02,u0021,2025-03-02 06:33:00,2,1,33.31759904584276
u0269::2025-01-08,u0269,2025-01-08 15:31:00,2,1,33.31759904584276
u0030::2025-02-19,u0030,2025-02-19 02:20:00,13,3,33.228972168142725
u0358::2025-01-13,u0358,2025-01-13 17:23:00,4,0,33.180448235604196
u0061::2025-01-01,u0061,2025-01-01 14:56:00,2,1,33.15938877621153
u0191::2025-02-08,u0191,2025-02-08 13:21:00,2,0,33.09623285159879
u0288::2025-01-01,u0288,2025-01-01 22:13:00,2,0,33.09623285159879
u0230::2025-03-02,u0230,2025-03-02 02:58:00,2,1,33.0168291511889
u0337::2025-03-02,u0337,2025-03-02 01:27:00,2,1,33.0168291511889
u0338::2025-02-09,u0338,2025-02-09 00:59:00,8,1,32.902103952708714
u0238::2025-01-09,u0238,2025-01-09 10:30:00,3,1,32.8198832981846
u0238::2025-01-26,u0238,2025-01-26 14:29:00,2,0,32.8049915255421
u0233::2025-02-16,u0233,2025-02-16 07:28:00,4,1,32.76020744804004
u0148::2025-02-03,u0148,2025-02-03 05:53:00,4,2,32.75803431837497
u0057::2025-01-01,u0057,2025-01-01 14:34:00,3,0,32.71869519621316
u0275::2025-01-07,u0275,2025-01-07 04:43:00,2,1,32.60663002249443
u0028::2025-02-09,u0028,2025-02-09 01:50:00,14,3,32.55997807345435
u0109::2025-02-19,u0109,2025-02-19 00:50:00,5,0,32.48062684802127
u0237::2025-01-21,u0237,2025-01-21 18:14:00,2,0,32.47364065337599
u0010::2025-02-17,u0010,2025-02-17 07:07:00,2,0,32.44743690283639
u0300::2025-02-04,u0300,2025-02-04 00:40:00,9,0,32.414938185918665
u0102::2025-02-03,u0102,2025-02-03 00:49:00,2,0,32.36054743035951
u0177::2025-01-10,u0177,2025-01-10 13:07:00,2,0,32.34144848264748
u0270::2025-01-08,u0270,2025-01-08 02:33:00,2,1,32.32891266181393
u0385::2025-01-24,u0385,2025-01-24 18:06:00,2,0,32.32311112636884
u0104::2025-02-13,u0104,2025-02-13 00:13:00,11,3,32.30825183523565
u0077::2025-02-11,u0077,2025-02-11 00:07:00,6,0,32.230509963870304
u0177::2025-02-04,u0177,2025-02-04 03:05:00,2,0,32.223425445478156
u0338::2025-02-07,u0338,2025-02-07 00:38:00,9,1,32.172308195845346
u0179::2025-03-02,u0179,2025-03-02 00:10:00,1,0,32.1268376144073
u0389::2025-01-19,u0389,2025-01-19 13:08:00,2,0,32.070648319486175
u0136::2025-01-29,u0136,2025-01-29 15:02:00,2,0,32.05029417870583
